CustomerId	Obec	Okres	Kraj	Count
1	Barchov	Pardubice	Pardubický kraj	1
2	Bezděkov	Pardubice	Pardubický kraj	9
3	Borek	Pardubice	Pardubický kraj	9
113	Borek	Pardubice	Pardubický kraj	5
4	Brloh	Pardubice	Pardubický kraj	6
5	Břehy	Pardubice	Pardubický kraj	8
6	Bukovina nad Labem	Pardubice	Pardubický kraj	9
7	Bukovina u Přelouče	Pardubice	Pardubický kraj	9
8	Bukovka	Pardubice	Pardubický kraj	10
9	Býšť	Pardubice	Pardubický kraj	5
10	Časy	Pardubice	Pardubický kraj	5
11	Čeperka	Pardubice	Pardubický kraj	2
12	Čepí	Pardubice	Pardubický kraj	1
13	Černá u Bohdanče	Pardubice	Pardubický kraj	5
14	Dašice	Pardubice	Pardubický kraj	5
15	Dolany	Pardubice	Pardubický kraj	7
16	Dolní Roveň	Pardubice	Pardubický kraj	4
17	Dolní Ředice	Pardubice	Pardubický kraj	9
18	Dříteč	Pardubice	Pardubický kraj	8
19	Dubany	Pardubice	Pardubický kraj	7
20	Hlavečník	Pardubice	Pardubický kraj	3
21	Holice	Pardubice	Pardubický kraj	8
22	Holotín	Pardubice	Pardubický kraj	7
23	Horní Jelení	Pardubice	Pardubický kraj	10
24	Horní Ředice	Pardubice	Pardubický kraj	7
25	Hrobice	Pardubice	Pardubický kraj	9
26	Choltice	Pardubice	Pardubický kraj	6
27	Choteč	Pardubice	Pardubický kraj	9
28	Chrtníky	Pardubice	Pardubický kraj	3
29	Chvaletice	Pardubice	Pardubický kraj	10
30	Chvojenec	Pardubice	Pardubický kraj	10
31	Chýšť	Pardubice	Pardubický kraj	5
32	Jankovice	Pardubice	Pardubický kraj	10
33	Jaroslav	Pardubice	Pardubický kraj	5
34	Jedousov	Pardubice	Pardubický kraj	7
35	Jeníkovice	Pardubice	Pardubický kraj	8
36	Jezbořice	Pardubice	Pardubický kraj	7
37	Kasalice	Pardubice	Pardubický kraj	9
38	Kladruby nad Labem	Pardubice	Pardubický kraj	2
39	Kojice	Pardubice	Pardubický kraj	8
40	Kostěnice	Pardubice	Pardubický kraj	4
41	Křičeň	Pardubice	Pardubický kraj	8
42	Kunětice	Pardubice	Pardubický kraj	4
43	Labské Chrčice	Pardubice	Pardubický kraj	10
44	Lány u Dašic	Pardubice	Pardubický kraj	6
45	Lázně Bohdaneč	Pardubice	Pardubický kraj	4
46	Libišany	Pardubice	Pardubický kraj	7
47	Lipoltice	Pardubice	Pardubický kraj	8
48	Litošice	Pardubice	Pardubický kraj	6
49	Malé Výkleky	Pardubice	Pardubický kraj	5
50	Mikulovice	Pardubice	Pardubický kraj	10
51	Mokošín	Pardubice	Pardubický kraj	2
52	Morašice	Pardubice	Pardubický kraj	5
53	Moravany	Pardubice	Pardubický kraj	6
54	Němčice	Pardubice	Pardubický kraj	5
55	Neratov	Pardubice	Pardubický kraj	1
56	Opatovice nad Labem	Pardubice	Pardubický kraj	6
57	Ostřešany	Pardubice	Pardubický kraj	6
58	Ostřetín	Pardubice	Pardubický kraj	1
59	Pardubice	Pardubice	Pardubický kraj	8
