Id	Obec	Okres	Kraj	PSČ	X	Y
2	Adamov	Blansko	Jihomoravský kraj	67904	16.663955	49.295708
15	Archlebov	Hodonín	Jihomoravský kraj	69633	17.004911	49.043689
26	Babice nad Svitavou	Brno-venkov	Jihomoravský kraj	66401	16.696235	49.283402
27	Babice u Rosic	Brno-venkov	Jihomoravský kraj	66484	16.358273	49.173078
41	Bantice	Znojmo	Jihomoravský kraj	67161	16.182493	48.883187
55	Bavory	Břeclav	Jihomoravský kraj	69201	16.622349	48.834789
67	Bedřichov	Blansko	Jihomoravský kraj	67971	16.465422	49.461276
70	Běhařovice	Znojmo	Jihomoravský kraj	67139	16.078723	49.004036
85	Běleč	Brno-venkov	Jihomoravský kraj	67923	16.383235	49.434036
98	Benešov	Blansko	Jihomoravský kraj	67953	16.770698	49.509531
130	Bezkov	Znojmo	Jihomoravský kraj	66902	15.951352	48.871321
152	Bílovice nad Svitavou	Brno-venkov	Jihomoravský kraj	66401	16.672575	49.247178
162	Biskoupky	Brno-venkov	Jihomoravský kraj	66491	16.281386	49.097789
169	Bítov	Znojmo	Jihomoravský kraj	67110	15.729075	48.936395
174	Blanné	Znojmo	Jihomoravský kraj	67154	15.883346	48.992037
175	Blansko	Blansko	Jihomoravský kraj	67801	16.647855	49.36495
181	Blatnice pod Svatým Antonínkem	Hodonín	Jihomoravský kraj	69671	17.466069	48.946824
182	Blatnička	Hodonín	Jihomoravský kraj	69671	17.530151	48.935609
191	Blažovice	Brno-venkov	Jihomoravský kraj	66408	16.786216	49.165785
197	Blížkovice	Znojmo	Jihomoravský kraj	67155	15.834918	48.999862
201	Blučina	Brno-venkov	Jihomoravský kraj	66456	16.644601	49.055066
210	Bohaté Málkovice	Vyškov	Jihomoravský kraj	68501	17.014284	49.189126
213	Bohdalice-Pavlovice	Vyškov	Jihomoravský kraj	68341	17.030228	49.214143
239	Bohutice	Znojmo	Jihomoravský kraj	67176	16.357739	48.991375
247	Bojanovice	Znojmo	Jihomoravský kraj	67153	15.989159	48.968259
254	Boleradice	Břeclav	Jihomoravský kraj	69112	16.814026	48.966776
261	Borač	Brno-venkov	Jihomoravský kraj	59261	16.361217	49.400915
269	Borkovany	Břeclav	Jihomoravský kraj	69175	16.810211	49.028264
272	Borotice	Znojmo	Jihomoravský kraj	67178	16.242711	48.857391
275	Borotín	Blansko	Jihomoravský kraj	67937	16.671585	49.581447
288	Borovník	Brno-venkov	Jihomoravský kraj	59451	16.229456	49.355656
299	Bořetice	Břeclav	Jihomoravský kraj	69108	16.853168	48.913124
305	Bořitov	Blansko	Jihomoravský kraj	67921	16.591291	49.425135
307	Boskovice	Blansko	Jihomoravský kraj	68001	16.660076	49.487612
308	Boskovštejn	Znojmo	Jihomoravský kraj	67154	15.929654	48.982797
312	Bošovice	Vyškov	Jihomoravský kraj	68354	16.836868	49.053609
322	Božice	Znojmo	Jihomoravský kraj	67164	16.288856	48.836967
335	Braníškov	Brno-venkov	Jihomoravský kraj	66471	16.345762	49.294469
337	Branišovice	Brno-venkov	Jihomoravský kraj	67177	16.431951	48.962911
339	Brankovice	Vyškov	Jihomoravský kraj	68333	17.134911	49.156081
347	Bratčice	Brno-venkov	Jihomoravský kraj	66467	16.523184	49.065247
368	Brno	Brno-město	Jihomoravský kraj	60200	16.606937	49.19516
369	Brod nad Dyjí	Břeclav	Jihomoravský kraj	69181	16.535482	48.875309
383	Brťov-Jeneč	Blansko	Jihomoravský kraj	67921	16.517076	49.413781
384	Brumov	Brno-venkov	Jihomoravský kraj	67923	16.425856	49.462484
386	Brumovice	Břeclav	Jihomoravský kraj	69111	16.89626	48.960895
396	Břeclav	Břeclav	Jihomoravský kraj	69002	16.882617	48.75324
404	Březí	Břeclav	Jihomoravský kraj	69181	16.567583	48.819377
413	Březina	Brno-venkov	Jihomoravský kraj	67905	16.755163	49.282167
414	Březina	Brno-venkov	Jihomoravský kraj	66601	16.749623	49.281698
415	Březina (vojenský újezd)	Vyškov	Jihomoravský kraj	79805	16.960939	49.368199
437	Břežany	Znojmo	Jihomoravský kraj	67165	16.341852	48.870023
451	Bučovice	Vyškov	Jihomoravský kraj	68501	17.003981	49.149402
478	Bukovany	Hodonín	Jihomoravský kraj	69631	17.100961	49.042267
485	Bukovice	Brno-venkov	Jihomoravský kraj	67923	16.489825	49.406829
487	Bukovina	Blansko	Jihomoravský kraj	67905	16.773268	49.297608
491	Bukovinka	Blansko	Jihomoravský kraj	67905	16.805039	49.294279
496	Bulhary	Břeclav	Jihomoravský kraj	69189	16.748843	48.831565
510	Býkovice	Blansko	Jihomoravský kraj	67971	16.538385	49.430303
534	Bzenec	Hodonín	Jihomoravský kraj	69681	17.266959	48.973463
550	Cetkovice	Blansko	Jihomoravský kraj	67938	16.721351	49.578884
560	Citonice	Znojmo	Jihomoravský kraj	67101	15.964567	48.884055
565	Crhov	Blansko	Jihomoravský kraj	67974	16.434827	49.545112
569	Ctidružice	Znojmo	Jihomoravský kraj	67154	15.86009	48.982616
573	Cvrčovice	Brno-venkov	Jihomoravský kraj	69123	16.514581	48.993768
593	Čebín	Brno-venkov	Jihomoravský kraj	66423	16.478018	49.313339
604	Čejč	Hodonín	Jihomoravský kraj	69614	16.965214	48.946631
607	Čejkovice	Hodonín	Jihomoravský kraj	69615	16.942409	48.906019
608	Čejkovice	Znojmo	Jihomoravský kraj	67178	16.287428	48.877801
617	Čeložnice	Hodonín	Jihomoravský kraj	69651	17.15476	49.051964
627	Čermákovice	Znojmo	Jihomoravský kraj	67173	16.195072	49.032153
633	Černá Hora	Blansko	Jihomoravský kraj	67921	16.581502	49.413707
648	Černín	Znojmo	Jihomoravský kraj	67153	16.021013	48.983053
658	Černovice	Blansko	Jihomoravský kraj	67975	16.423018	49.48363
665	Černvír	Brno-venkov	Jihomoravský kraj	59262	16.346286	49.445413
681	Česká	Brno-venkov	Jihomoravský kraj	66431	16.56551	49.280178
746	Čučice	Brno-venkov	Jihomoravský kraj	66491	16.278687	49.137181
754	Dambořice	Hodonín	Jihomoravský kraj	69635	16.917678	49.038383
755	Damnice	Znojmo	Jihomoravský kraj	67178	16.374203	48.920412
764	Deblín	Brno-venkov	Jihomoravský kraj	66475	16.346542	49.320459
781	Deštná	Blansko	Jihomoravský kraj	67961	16.563659	49.612653
785	Dětkovice	Vyškov	Jihomoravský kraj	68323	17.144316	49.272783
795	Diváky	Břeclav	Jihomoravský kraj	69171	16.791869	48.988794
805	Dlouhá Lhota	Blansko	Jihomoravský kraj	67971	16.5097	49.428757
821	Dobelice	Znojmo	Jihomoravský kraj	67201	16.27873	49.017342
833	Dobré Pole	Břeclav	Jihomoravský kraj	69181	16.535282	48.824436
836	Dobročkovice	Vyškov	Jihomoravský kraj	68333	17.109099	49.163035
862	Dobřínsko	Znojmo	Jihomoravský kraj	67201	16.26177	49.052312
866	Dobšice	Znojmo	Jihomoravský kraj	67182	16.085512	48.848447
882	Dolenice	Znojmo	Jihomoravský kraj	67178	16.365753	48.909233
888	Dolní Bojanovice	Hodonín	Jihomoravský kraj	69617	17.028691	48.858707
898	Dolní Dubňany	Znojmo	Jihomoravský kraj	67173	16.2268	49.055887
899	Dolní Dunajovice	Břeclav	Jihomoravský kraj	69185	16.592933	48.854571
910	Dolní Kounice	Brno-venkov	Jihomoravský kraj	66464	16.465024	49.070212
921	Dolní Loučky	Brno-venkov	Jihomoravský kraj	59455	16.358812	49.361092
952	Dolní Věstonice	Břeclav	Jihomoravský kraj	69129	16.643792	48.888324
964	Domanín	Hodonín	Jihomoravský kraj	69683	17.284869	49.00177
967	Domašov	Brno-venkov	Jihomoravský kraj	66483	16.343924	49.245429
983	Doubravice nad Svitavou	Blansko	Jihomoravský kraj	67911	16.629473	49.436736
985	Doubravník	Brno-venkov	Jihomoravský kraj	59261	16.352799	49.424208
1001	Drahonín	Brno-venkov	Jihomoravský kraj	59261	16.277005	49.414161
1009	Drásov	Brno-venkov	Jihomoravský kraj	66424	16.47809	49.331934
1017	Dražovice	Vyškov	Jihomoravský kraj	68301	16.943484	49.194842
1019	Dražůvky	Hodonín	Jihomoravský kraj	69633	17.019078	49.030633
1026	Drnholec	Břeclav	Jihomoravský kraj	69183	16.485962	48.857558
1027	Drnovice	Blansko	Jihomoravský kraj	67976	16.542335	49.469406
1028	Drnovice	Vyškov	Jihomoravský kraj	68304	16.951569	49.276395
1041	Drysice	Vyškov	Jihomoravský kraj	68321	17.057846	49.334642
1069	Dubňany	Hodonín	Jihomoravský kraj	69603	17.090148	48.917038
1089	Dyjákovice	Znojmo	Jihomoravský kraj	67126	16.301068	48.771975
1090	Dyjákovičky	Znojmo	Jihomoravský kraj	66902	16.095728	48.7824
1091	Dyje	Znojmo	Jihomoravský kraj	66902	16.1166	48.847219
1097	Džbánice	Znojmo	Jihomoravský kraj	67171	16.211038	49.001361
1120	Grešlové Mýto	Znojmo	Jihomoravský kraj	67156	15.886269	48.980854
1127	Habrovany	Vyškov	Jihomoravský kraj	68301	16.878393	49.232934
1129	Habrůvka	Blansko	Jihomoravský kraj	67905	16.72362	49.3036
1138	Hajany	Brno-venkov	Jihomoravský kraj	66443	16.55509	49.110916
1170	Havraníky	Znojmo	Jihomoravský kraj	66902	16.008488	48.811525
1181	Heroltice	Brno-venkov	Jihomoravský kraj	66601	16.412898	49.311457
1182	Heršpice	Vyškov	Jihomoravský kraj	68401	16.913668	49.119869
1198	Hevlín	Znojmo	Jihomoravský kraj	67169	16.381414	48.75219
1211	Hlína	Brno-venkov	Jihomoravský kraj	66491	16.426268	49.113718
1221	Hlohovec	Břeclav	Jihomoravský kraj	69143	16.762404	48.774086
1223	Hlubočany	Vyškov	Jihomoravský kraj	68201	17.000469	49.230519
1229	Hluboké Dvory	Brno-venkov	Jihomoravský kraj	67923	16.514309	49.383241
1230	Hluboké Mašůvky	Znojmo	Jihomoravský kraj	67152	16.025651	48.923757
1240	Hnanice	Znojmo	Jihomoravský kraj	66902	15.98678	48.798587
1250	Hodějice	Vyškov	Jihomoravský kraj	68401	16.913792	49.141595
1256	Hodonice	Znojmo	Jihomoravský kraj	67125	16.163476	48.8369
1257	Hodonín	Blansko	Jihomoravský kraj	67971	16.410379	49.501284
1258	Hodonín	Hodonín	Jihomoravský kraj	69501	17.126102	48.853039
1266	Holasice	Brno-venkov	Jihomoravský kraj	66461	16.607667	49.075956
1280	Holštejn	Blansko	Jihomoravský kraj	67913	16.777804	49.406486
1281	Holubice	Vyškov	Jihomoravský kraj	68351	16.812243	49.177588
1310	Horní Bojanovice	Břeclav	Jihomoravský kraj	69301	16.800252	48.949805
1314	Horní Břečkov	Znojmo	Jihomoravský kraj	67102	15.898559	48.890055
1321	Horní Dubňany	Znojmo	Jihomoravský kraj	67173	16.201379	49.06346
