Id	Obec	Okres	Kraj	PSČ	X	Y
16	Arneštovice	Pelhřimov	Kraj Vysočina	39501	15.117873	49.53161
17	Arnolec	Jihlava	Kraj Vysočina	58827	15.823702	49.436298
21	Babice	Třebíč	Kraj Vysočina	67544	15.770586	49.135413
29	Bácovice	Pelhřimov	Kraj Vysočina	39301	15.158118	49.455771
32	Bačice	Třebíč	Kraj Vysočina	67555	16.027802	49.081736
33	Bačkov	Havlíčkův Brod	Kraj Vysočina	58291	15.462118	49.735384
34	Bačkovice	Třebíč	Kraj Vysočina	67532	15.589	48.965699
36	Baliny	Žďár nad Sázavou	Kraj Vysočina	59401	15.952501	49.332666
47	Bartoušov	Havlíčkův Brod	Kraj Vysočina	58001	15.618547	49.601128
52	Batelov	Jihlava	Kraj Vysočina	58851	15.410734	49.290179
74	Bělá	Havlíčkův Brod	Kraj Vysočina	58401	15.240686	49.754546
75	Bělá	Pelhřimov	Kraj Vysočina	39301	15.260715	49.312617
104	Benetice	Třebíč	Kraj Vysočina	67506	15.867436	49.297738
122	Bezděkov	Havlíčkův Brod	Kraj Vysočina	58301	15.730501	49.732931
157	Bílý Kámen	Jihlava	Kraj Vysočina	58841	15.560205	49.417417
167	Biskupice-Pulkov	Třebíč	Kraj Vysočina	67558	16.009555	49.038255
172	Bítovčice	Jihlava	Kraj Vysočina	58822	15.734153	49.368136
179	Blatnice	Třebíč	Kraj Vysočina	67551	15.871431	49.070235
190	Blažkov	Žďár nad Sázavou	Kraj Vysočina	59251	16.185267	49.473174
194	Blízkov	Žďár nad Sázavou	Kraj Vysočina	59442	15.90881	49.400584
205	Bobrová	Žďár nad Sázavou	Kraj Vysočina	59255	16.118399	49.482402
206	Bobrůvka	Žďár nad Sázavou	Kraj Vysočina	59255	16.093912	49.44874
212	Bohdalec	Žďár nad Sázavou	Kraj Vysočina	59255	16.05987	49.474379
214	Bohdalín	Pelhřimov	Kraj Vysočina	39491	15.015943	49.307781
215	Bohdalov	Žďár nad Sázavou	Kraj Vysočina	59213	15.876542	49.480764
224	Bohuňov	Žďár nad Sázavou	Kraj Vysočina	59301	16.202547	49.560508
228	Bohuslavice	Jihlava	Kraj Vysočina	58856	15.575917	49.14953
236	Bohušice	Třebíč	Kraj Vysočina	67551	15.852226	49.085207
245	Bochovice	Třebíč	Kraj Vysočina	67505	15.896424	49.320924
249	Bojiště	Havlíčkův Brod	Kraj Vysočina	58401	15.286899	49.667888
258	Boňkov	Havlíčkův Brod	Kraj Vysočina	58255	15.447573	49.54715
265	Borek	Havlíčkův Brod	Kraj Vysočina	58282	15.590083	49.791915
281	Borovná	Jihlava	Kraj Vysočina	58856	15.394712	49.164698
283	Borovnice	Žďár nad Sázavou	Kraj Vysočina	59242	16.202654	49.667328
293	Boršov	Jihlava	Kraj Vysočina	58805	15.434297	49.404043
296	Bory	Žďár nad Sázavou	Kraj Vysočina	59461	16.026282	49.425865
300	Bořetice	Pelhřimov	Kraj Vysočina	39501	15.11005	49.496166
302	Bořetín	Pelhřimov	Kraj Vysočina	39470	14.947722	49.310234
319	Božejov	Pelhřimov	Kraj Vysočina	39461	15.155899	49.362207
343	Bransouze	Třebíč	Kraj Vysočina	67521	15.751924	49.302776
354	Bratřice	Pelhřimov	Kraj Vysočina	39501	15.001328	49.516554
381	Brtnice	Jihlava	Kraj Vysočina	58832	15.676522	49.307047
382	Brtnička	Jihlava	Kraj Vysočina	67527	15.624317	49.237281
394	Brzkov	Jihlava	Kraj Vysočina	58813	15.72724	49.526068
401	Břevnice	Havlíčkův Brod	Kraj Vysočina	58001	15.612697	49.631361
402	Březejc	Žďár nad Sázavou	Kraj Vysočina	59401	16.091562	49.346399
405	Březí	Žďár nad Sázavou	Kraj Vysočina	59453	16.216045	49.343279
407	Březí nad Oslavou	Žďár nad Sázavou	Kraj Vysočina	59214	15.935697	49.502993
421	Březník	Třebíč	Kraj Vysočina	67574	16.194204	49.172155
434	Březské	Žďár nad Sázavou	Kraj Vysočina	59453	16.238271	49.330018
454	Budeč	Žďár nad Sázavou	Kraj Vysočina	59214	15.912421	49.53647
457	Budíkov	Pelhřimov	Kraj Vysočina	39601	15.362705	49.579243
462	Budišov	Třebíč	Kraj Vysočina	67503	16.003938	49.271484
466	Budkov	Třebíč	Kraj Vysočina	67542	15.65903	49.054591
474	Bukov	Žďár nad Sázavou	Kraj Vysočina	59251	16.223666	49.454403
498	Buřenice	Pelhřimov	Kraj Vysočina	39501	15.066329	49.552815
514	Bystrá	Pelhřimov	Kraj Vysočina	39601	15.371288	49.50857
525	Bystřice nad Pernštejnem	Žďár nad Sázavou	Kraj Vysočina	59301	16.261571	49.523046
531	Býšovec	Žďár nad Sázavou	Kraj Vysočina	59301	16.289398	49.475308
539	Cejle	Jihlava	Kraj Vysočina	58851	15.472878	49.3694
544	Cerekvička-Rosice	Jihlava	Kraj Vysočina	58833	15.587278	49.334875
551	Cetoraz	Pelhřimov	Kraj Vysočina	39411	14.957412	49.455335
553	Cidlina	Třebíč	Kraj Vysočina	67544	15.735638	49.128295
554	Cikháj	Žďár nad Sázavou	Kraj Vysočina	59102	15.96749	49.644947
575	Čachotín	Havlíčkův Brod	Kraj Vysočina	58301	15.608696	49.695303
584	Čáslavice	Třebíč	Kraj Vysočina	67524	15.772506	49.152316
