Id	Obec	Okres	Kraj	PSČ	X	Y
9	Albrechtice v Jizerských horách	Jablonec nad Nisou	Liberecký kraj	46843	15.275813	50.7624
68	Bedřichov	Jablonec nad Nisou	Liberecký kraj	46812	15.142571	50.791188
76	Bělá	Semily	Liberecký kraj	51401	15.445427	50.534417
97	Benecko	Semily	Liberecký kraj	51237	15.548272	50.666433
102	Benešov u Semil	Semily	Liberecký kraj	51206	15.368478	50.603258
128	Bezděz	Česká Lípa	Liberecký kraj	47201	14.722084	50.533742
135	Bílá	Liberec	Liberecký kraj	46343	15.035522	50.664931
158	Bílý Kostel nad Nisou	Liberec	Liberecký kraj	46331	14.924507	50.823246
159	Bílý Potok	Liberec	Liberecký kraj	46362	15.222203	50.873842
176	Blatce	Česká Lípa	Liberecký kraj	47201	14.603251	50.502986
196	Blíževedly	Česká Lípa	Liberecký kraj	47104	14.396598	50.608503
211	Bohatice	Česká Lípa	Liberecký kraj	47002	14.679426	50.669033
317	Bozkov	Semily	Liberecký kraj	51213	15.337206	50.640171
327	Bradlecká Lhota	Semily	Liberecký kraj	50713	15.396332	50.488672
367	Brniště	Česká Lípa	Liberecký kraj	47129	14.703495	50.729288
489	Bukovina u Čisté	Semily	Liberecký kraj	51401	15.58394	50.542694
497	Bulovka	Liberec	Liberecký kraj	46401	15.12367	50.971244
515	Bystrá nad Jizerou	Semily	Liberecký kraj	51301	15.401976	50.604834
549	Cetenov	Liberec	Liberecký kraj	46348	14.917705	50.644523
572	Cvikov	Česká Lípa	Liberecký kraj	47154	14.633019	50.777293
656	Černousy	Liberec	Liberecký kraj	46373	15.050573	51.004564
687	Česká Lípa	Česká Lípa	Liberecký kraj	47001	14.539799	50.67862
701	Český Dub	Liberec	Liberecký kraj	46343	14.996287	50.661116
732	Čistá u Horek	Semily	Liberecký kraj	51235	15.60765	50.5317
744	Čtveřín	Liberec	Liberecký kraj	46345	15.100281	50.592605
751	Dalešice	Jablonec nad Nisou	Liberecký kraj	46802	15.184679	50.681858
774	Desná	Jablonec nad Nisou	Liberecký kraj	46861	15.313862	50.75481
788	Dětřichov	Liberec	Liberecký kraj	46401	15.036676	50.892748
818	Dlouhý Most	Liberec	Liberecký kraj	46312	15.075978	50.711714
871	Doksy	Česká Lípa	Liberecký kraj	47201	14.654377	50.565945
941	Dolní Řasnice	Liberec	Liberecký kraj	46401	15.168786	50.945787
1042	Držkov	Jablonec nad Nisou	Liberecký kraj	46824	15.303285	50.68764
1060	Dubá	Česká Lípa	Liberecký kraj	47141	14.540343	50.540444
1071	Dubnice	Česká Lípa	Liberecký kraj	47126	14.808823	50.726074
1111	Frýdlant	Liberec	Liberecký kraj	46401	15.079851	50.921496
1113	Frýdštejn	Jablonec nad Nisou	Liberecký kraj	46342	15.158867	50.652357
1125	Habartice	Liberec	Liberecký kraj	46373	15.065266	51.019134
1140	Háje nad Jizerou	Semily	Liberecký kraj	51301	15.421312	50.613238
1150	Hamr na Jezeře	Česká Lípa	Liberecký kraj	47128	14.838293	50.702975
1156	Harrachov	Semily	Liberecký kraj	51246	15.431521	50.772186
1173	Hejnice	Liberec	Liberecký kraj	46362	15.181785	50.877301
1188	Heřmanice	Liberec	Liberecký kraj	46401	15.006457	50.897
1208	Hlavice	Liberec	Liberecký kraj	46348	14.926704	50.631998
1254	Hodkovice nad Mohelkou	Liberec	Liberecký kraj	46342	15.08996	50.665963
1265	Holany	Česká Lípa	Liberecký kraj	47002	14.493073	50.618099
1270	Holenice	Semily	Liberecký kraj	50601	15.300548	50.520473
