Id	Obec	Okres	Kraj	PSČ	X	Y
28	Babylon	Domažlice	Plzeňský kraj	34401	12.862893	49.398761
57	Bdeněves	Plzeň-sever	Plzeňský kraj	33032	13.235291	49.76964
69	Běhařov	Klatovy	Plzeňský kraj	34021	13.160291	49.344879
78	Bělá nad Radbuzou	Domažlice	Plzeňský kraj	34526	12.717718	49.591261
103	Benešovice	Tachov	Plzeňský kraj	34901	12.901799	49.726964
118	Běšiny	Klatovy	Plzeňský kraj	33901	13.312677	49.301709
124	Bezděkov	Klatovy	Plzeňský kraj	33901	13.297971	49.3795
125	Bezděkov	Rokycany	Plzeňský kraj	33824	13.596645	49.824389
129	Bezdružice	Tachov	Plzeňský kraj	34953	12.971351	49.906771
134	Bezvěrov	Plzeň-sever	Plzeňský kraj	33041	13.059113	49.995118
149	Bílov	Plzeň-sever	Plzeňský kraj	33141	13.42495	50.017964
161	Biřkov	Klatovy	Plzeňský kraj	33401	13.230256	49.518156
180	Blatnice	Plzeň-sever	Plzeňský kraj	33025	13.156096	49.719824
188	Blažim	Plzeň-sever	Plzeňský kraj	33038	13.047724	49.916024
195	Blížejov	Domažlice	Plzeňský kraj	34545	12.989366	49.500115
198	Blovice	Plzeň-jih	Plzeňský kraj	33601	13.540199	49.582303
242	Bohy	Plzeň-sever	Plzeňský kraj	33141	13.575531	49.937892
255	Bolešiny	Klatovy	Plzeňský kraj	33901	13.361712	49.410002
257	Bolkov	Plzeň-jih	Plzeňský kraj	33401	13.223973	49.533675
259	Bor	Tachov	Plzeňský kraj	34802	12.775276	49.711706
289	Borovno	Plzeň-jih	Plzeňský kraj	33561	13.690481	49.622087
290	Borovy	Plzeň-jih	Plzeňský kraj	33401	13.302442	49.525208
366	Brnířov	Domažlice	Plzeňský kraj	34506	13.04969	49.382698
370	Brod nad Tichou	Tachov	Plzeňský kraj	34815	12.741203	49.835396
376	Brodeslavy	Plzeň-sever	Plzeňský kraj	33141	13.557097	49.953778
378	Broumov	Tachov	Plzeňský kraj	34815	12.606805	49.889478
395	Břasy	Rokycany	Plzeňský kraj	33824	13.578439	49.837107
411	Březina	Rokycany	Plzeňský kraj	33824	13.596901	49.807642
438	Břežany	Klatovy	Plzeňský kraj	34101	13.61746	49.348864
449	Bučí	Plzeň-sever	Plzeňský kraj	33152	13.302879	49.885275
455	Budětice	Klatovy	Plzeňský kraj	34201	13.58477	49.283469
471	Bujesily	Rokycany	Plzeňský kraj	33141	13.574492	49.914681
