Id	Obec	Okres	Kraj	PSČ	X	Y
3	Adamov	Kutná Hora	Středočeský kraj	28601	15.409018	49.857917
24	Babice	Praha-východ	Středočeský kraj	25101	14.715907	50.008089
35	Bakov nad Jizerou	Mladá Boleslav	Středočeský kraj	29401	14.941596	50.482406
44	Barchovice	Kolín	Středočeský kraj	28163	14.969206	49.944355
51	Bašť	Praha-východ	Středočeský kraj	25065	14.477405	50.205242
56	Bavoryně	Beroun	Středočeský kraj	26751	13.961126	49.895907
58	Bdín	Rakovník	Středočeský kraj	27054	13.858851	50.214245
63	Bečváry	Kolín	Středočeský kraj	28143	15.079916	49.956809
80	Bělá pod Bezdězem	Mladá Boleslav	Středočeský kraj	29421	14.80429	50.501314
86	Běleč	Kladno	Středočeský kraj	27363	13.993082	50.056269
89	Běloky	Kladno	Středočeský kraj	27353	14.220862	50.131539
92	Bělušice	Kolín	Středočeský kraj	28002	15.322001	50.069172
96	Benátky nad Jizerou	Mladá Boleslav	Středočeský kraj	29471	14.824612	50.289261
99	Benešov	Benešov	Středočeský kraj	25601	14.68747	49.783882
106	Bernardov	Kutná Hora	Středočeský kraj	28401	15.398668	50.014231
110	Bernartice	Benešov	Středočeský kraj	25765	15.129249	49.675666
112	Beroun	Beroun	Středočeský kraj	26601	14.086384	49.967305
113	Běrunice	Nymburk	Středočeský kraj	28908	15.333694	50.185843
114	Beřovice	Kladno	Středočeský kraj	27371	14.12366	50.269119
119	Běštín	Beroun	Středočeský kraj	26724	14.01634	49.807406
127	Bezděkov pod Třemšínem	Příbram	Středočeský kraj	26242	13.878564	49.577203
132	Bezno	Mladá Boleslav	Středočeský kraj	29429	14.795726	50.367388
137	Bílá Hlína	Mladá Boleslav	Středočeský kraj	29501	14.925357	50.532604
142	Bílé Podolí	Kutná Hora	Středočeský kraj	28572	15.491127	49.956586
145	Bílichov	Kladno	Středočeský kraj	27374	13.916459	50.262151
147	Bílkovice	Benešov	Středočeský kraj	25726	14.861056	49.759822
168	Bítouchov	Mladá Boleslav	Středočeský kraj	29401	14.889523	50.475882
187	Blažejovice	Benešov	Středočeský kraj	25768	15.200036	49.619897
193	Blevice	Kladno	Středočeský kraj	27328	14.236267	50.209825
203	Bludov	Kutná Hora	Středočeský kraj	28601	15.255286	49.807592
204	Bobnice	Nymburk	Středočeský kraj	28931	15.053622	50.219681
217	Bohdaneč	Kutná Hora	Středočeský kraj	28525	15.222656	49.778273
220	Bohostice	Příbram	Středočeský kraj	26231	14.138233	49.602243
241	Bohutín	Příbram	Středočeský kraj	26241	13.943995	49.65562
248	Bojanovice	Praha-západ	Středočeský kraj	25206	14.352145	49.854542
263	Boreč	Mladá Boleslav	Středočeský kraj	29426	14.732498	50.407453
268	Borek	Praha-východ	Středočeský kraj	27714	14.647521	50.222684
273	Borotice	Příbram	Středočeský kraj	26215	14.279808	49.735072
286	Borovnice	Benešov	Středočeský kraj	25765	15.018438	49.648835
297	Bořanovice	Praha-východ	Středočeský kraj	25065	14.478857	50.178336
306	Boseň	Mladá Boleslav	Středočeský kraj	29501	15.022906	50.504204
326	Bradlec	Mladá Boleslav	Středočeský kraj	29306	14.910293	50.451452
328	Brambory	Kutná Hora	Středočeský kraj	28601	15.470316	49.97825
331	Brandýs nad Labem - Stará Boleslav	Praha-východ	Středočeský kraj	25001	14.659344	50.186426
333	Brandýsek	Kladno	Středočeský kraj	27341	14.162098	50.18933
342	Branov	Rakovník	Středočeský kraj	27023	13.843021	50.012981
345	Branžež	Mladá Boleslav	Středočeský kraj	29402	15.058005	50.507685
346	Braškov	Kladno	Středočeský kraj	27351	14.100859	50.102133
348	Bratčice	Kutná Hora	Středočeský kraj	28601	15.430482	49.855317
349	Bratkovice	Příbram	Středočeský kraj	26223	13.999043	49.740519
351	Bratronice	Kladno	Středočeský kraj	27363	14.014265	50.067851
356	Bratřínov	Praha-západ	Středočeský kraj	25205	14.340242	49.842681
358	Brázdim	Praha-východ	Středočeský kraj	25063	14.58829	50.183633
360	Brdy (vojenský újezd)	Příbram	Středočeský kraj	26223	13.903243	49.789268
371	Brodce	Mladá Boleslav	Středočeský kraj	29473	14.86928	50.33078
379	Broumy	Beroun	Středočeský kraj	26742	13.852368	49.955171
406	Březí	Praha-východ	Středočeský kraj	25101	14.699389	50.014766
412	Březina	Mladá Boleslav	Středočeský kraj	29411	15.032901	50.548647
419	Březnice	Příbram	Středočeský kraj	26272	13.950734	49.557739
422	Březno	Mladá Boleslav	Středočeský kraj	29406	15.005584	50.406292
428	Březová	Beroun	Středočeský kraj	26751	13.883116	49.904184
432	Březová-Oleško	Praha-západ	Středočeský kraj	25245	14.411028	49.904148
