Id	Obec	Okres	Kraj	PSČ	X	Y
25	Babice	Uherské Hradiště	Zlínský kraj	68703	17.476827	49.123859
39	Bánov	Uherské Hradiště	Zlínský kraj	68754	17.717631	48.988113
48	Bařice-Velké Těšany	Kroměříž	Zlínský kraj	76701	17.426201	49.245527
91	Bělov	Zlín	Zlínský kraj	76821	17.484879	49.21609
131	Bezměrov	Kroměříž	Zlínský kraj	76701	17.334894	49.329903
151	Bílovice	Uherské Hradiště	Zlínský kraj	68712	17.549716	49.099749
166	Biskupice	Zlín	Zlínský kraj	76341	17.710527	49.083208
185	Blazice	Kroměříž	Zlínský kraj	76861	17.645401	49.44257
233	Bohuslavice nad Vláří	Zlín	Zlínský kraj	76321	17.926421	49.090273
234	Bohuslavice u Zlína	Zlín	Zlínský kraj	76351	17.636864	49.163201
250	Bojkovice	Uherské Hradiště	Zlínský kraj	68771	17.814983	49.038744
291	Boršice	Uherské Hradiště	Zlínský kraj	68709	17.350953	49.062643
292	Boršice u Blatnice	Uherské Hradiště	Zlínský kraj	68763	17.571104	48.934962
298	Bořenovice	Kroměříž	Zlínský kraj	76901	17.564472	49.361618
340	Branky	Vsetín	Zlínský kraj	75645	17.89306	49.461056
353	Bratřejov	Zlín	Zlínský kraj	76312	17.913427	49.222558
385	Brumov-Bylnice	Zlín	Zlínský kraj	76331	18.022809	49.092465
389	Brusné	Kroměříž	Zlínský kraj	76861	17.660807	49.36344
399	Břest	Kroměříž	Zlínský kraj	76823	17.440825	49.351167
400	Břestek	Uherské Hradiště	Zlínský kraj	68708	17.356023	49.094985
420	Březnice	Zlín	Zlínský kraj	76001	17.656742	49.184965
424	Březolupy	Uherské Hradiště	Zlínský kraj	68713	17.580451	49.121484
429	Březová	Uherské Hradiště	Zlínský kraj	68767	17.742769	48.922188
430	Březová	Zlín	Zlínský kraj	76315	17.741218	48.923332
436	Březůvky	Zlín	Zlínský kraj	76345	17.699728	49.153427
469	Buchlovice	Uherské Hradiště	Zlínský kraj	68708	17.338628	49.086371
526	Bystřice pod Hostýnem	Kroměříž	Zlínský kraj	76861	17.674121	49.399337
527	Bystřice pod Lopeníkem	Uherské Hradiště	Zlínský kraj	68755	17.764159	48.974921
528	Bystřička	Vsetín	Zlínský kraj	75624	17.974099	49.415411
548	Cetechovice	Kroměříž	Zlínský kraj	76802	17.261484	49.172391
587	Částkov	Uherské Hradiště	Zlínský kraj	68712	17.619917	49.10453
778	Dešná	Zlín	Zlínský kraj	76315	17.846028	49.266709
834	Dobrkovice	Zlín	Zlínský kraj	76307	17.669619	49.094555
883	Dolní Bečva	Vsetín	Zlínský kraj	75655	18.194298	49.455076
917	Dolní Lhota	Zlín	Zlínský kraj	76323	17.812463	49.137271
927	Dolní Němčí	Uherské Hradiště	Zlínský kraj	68762	17.585962	48.968468
986	Doubravy	Zlín	Zlínský kraj	76345	17.668211	49.142547
1029	Drnovice	Zlín	Zlínský kraj	76325	17.957414	49.17899
1036	Drslavice	Uherské Hradiště	Zlínský kraj	68733	17.600184	49.047152
1043	Držková	Zlín	Zlínský kraj	76319	17.78562	49.319242
1054	Dřínov	Kroměříž	Zlínský kraj	76833	17.233486	49.292989
1105	Francova Lhota	Vsetín	Zlínský kraj	75614	18.11186	49.201841
1117	Fryšták	Zlín	Zlínský kraj	76316	17.683572	49.285304
1145	Halenkov	Vsetín	Zlínský kraj	75603	18.1476	49.317501
1146	Halenkovice	Zlín	Zlínský kraj	76363	17.471664	49.171122
1147	Haluzice	Zlín	Zlínský kraj	76324	17.897406	49.137973
1235	Hluk	Uherské Hradiště	Zlínský kraj	68725	17.526788	48.988219
1271	Holešov	Kroměříž	Zlínský kraj	76901	17.57843	49.33341
1288	Honětice	Kroměříž	Zlínský kraj	76813	17.253216	49.203806
1303	Horní Bečva	Vsetín	Zlínský kraj	75657	18.288701	49.43226
1336	Horní Lapač	Kroměříž	Zlínský kraj	76901	17.617522	49.301023
1338	Horní Lhota	Zlín	Zlínský kraj	76323	17.80455	49.154412
1341	Horní Lideč	Vsetín	Zlínský kraj	75612	18.061103	49.181314
1351	Horní Němčí	Uherské Hradiště	Zlínský kraj	68764	17.624276	48.933273
1422	Hostějov	Uherské Hradiště	Zlínský kraj	68741	17.257265	49.040274
1427	Hostětín	Uherské Hradiště	Zlínský kraj	68771	17.879516	49.050017
1432	Hostišová	Zlín	Zlínský kraj	76301	17.591153	49.253781
1440	Hošťálková	Vsetín	Zlínský kraj	75622	17.869548	49.354774
1445	Hoštice	Kroměříž	Zlínský kraj	76813	17.233888	49.208645
1449	Hovězí	Vsetín	Zlínský kraj	75601	18.060734	49.303745
1464	Hradčovice	Uherské Hradiště	Zlínský kraj	68733	17.582201	49.049868
1506	Hrobice	Zlín	Zlínský kraj	76315	17.788329	49.277494
1540	Hřivínův Újezd	Zlín	Zlínský kraj	76307	17.690424	49.121057
1546	Hulín	Kroměříž	Zlínský kraj	76824	17.463848	49.316992
1556	Huslenky	Vsetín	Zlínský kraj	75602	18.090479	49.303274
1559	Huštěnovice	Uherské Hradiště	Zlínský kraj	68703	17.464577	49.108271
1560	Hutisko-Solanec	Vsetín	Zlínský kraj	75662	18.217836	49.429584
1571	Hvozdná	Zlín	Zlínský kraj	76311	17.751742	49.248581
1644	Chomýž	Kroměříž	Zlínský kraj	76861	17.645513	49.362473
1648	Choryně	Vsetín	Zlínský kraj	75642	17.898722	49.495846
1697	Chropyně	Kroměříž	Zlínský kraj	76811	17.364618	49.35654
1719	Chvalčov	Kroměříž	Zlínský kraj	76872	17.711595	49.389281
1726	Chvalnov-Lísky	Kroměříž	Zlínský kraj	76805	17.231009	49.166079
1754	Jablůnka	Vsetín	Zlínský kraj	75623	17.950317	49.383651
1762	Jalubí	Uherské Hradiště	Zlínský kraj	68705	17.427985	49.116359
1771	Jankovice	Kroměříž	Zlínský kraj	76901	17.618744	49.35638
1772	Jankovice	Uherské Hradiště	Zlínský kraj	68704	17.388585	49.154219
1780	Janová	Vsetín	Zlínský kraj	75501	18.020158	49.312144
1788	Jarcová	Vsetín	Zlínský kraj	75701	17.965972	49.444628
1789	Jarohněvice	Kroměříž	Zlínský kraj	76801	17.377672	49.267176
1802	Jasenná	Zlín	Zlínský kraj	76313	17.894297	49.253493
1843	Jestřabí	Zlín	Zlínský kraj	76333	17.955981	49.068135
1980	Kaňovice	Zlín	Zlínský kraj	76341	17.698856	49.109153
1993	Karlovice	Zlín	Zlínský kraj	76302	17.585926	49.176512
1996	Karolín	Kroměříž	Zlínský kraj	76821	17.43461	49.230694
1997	Karolinka	Vsetín	Zlínský kraj	75605	18.240174	49.351376
2003	Kašava	Zlín	Zlínský kraj	76319	17.785771	49.295509
