Id	Obec	Okres	Kraj	PSČ	X	Y
0002	Adamov	Blansko	Jihomoravský kraj	67904	16663	49295
000F	Archlebov	Hodonín	Jihomoravský kraj	69633	17004	49043
001A	Babice nad Svitavou	Brno-venkov	Jihomoravský kraj	66401	16696	49283
001B	Babice u Rosic	Brno-venkov	Jihomoravský kraj	66484	16358	49173
0029	Bantice	Znojmo	Jihomoravský kraj	67161	16182	48883
0037	Bavory	Břeclav	Jihomoravský kraj	69201	16622	48834
0043	Bedřichov	Blansko	Jihomoravský kraj	67971	16465	49461
0046	Běhařovice	Znojmo	Jihomoravský kraj	67139	16078	49004
0055	Běleč	Brno-venkov	Jihomoravský kraj	67923	16383	49434
0062	Benešov	Blansko	Jihomoravský kraj	67953	16770	49509
0082	Bezkov	Znojmo	Jihomoravský kraj	66902	15951	48871
0098	Bílovice nad Svitavou	Brno-venkov	Jihomoravský kraj	66401	16672	49247
00A2	Biskoupky	Brno-venkov	Jihomoravský kraj	66491	16281	49097
00A9	Bítov	Znojmo	Jihomoravský kraj	67110	15729	48936
00AE	Blanné	Znojmo	Jihomoravský kraj	67154	15883	48992
00AF	Blansko	Blansko	Jihomoravský kraj	67801	16647	49364
00B5	Blatnice pod Svatým Antonínkem	Hodonín	Jihomoravský kraj	69671	17466	48946
00B6	Blatnička	Hodonín	Jihomoravský kraj	69671	17530	48935
00BF	Blažovice	Brno-venkov	Jihomoravský kraj	66408	16786	49165
00C5	Blížkovice	Znojmo	Jihomoravský kraj	67155	15834	48999
00C9	Blučina	Brno-venkov	Jihomoravský kraj	66456	16644	49055
00D2	Bohaté Málkovice	Vyškov	Jihomoravský kraj	68501	17014	49189
00D5	Bohdalice-Pavlovice	Vyškov	Jihomoravský kraj	68341	17030	49214
00EF	Bohutice	Znojmo	Jihomoravský kraj	67176	16357	48991
00F7	Bojanovice	Znojmo	Jihomoravský kraj	67153	15989	48968
00FE	Boleradice	Břeclav	Jihomoravský kraj	69112	16814	48966
0105	Borač	Brno-venkov	Jihomoravský kraj	59261	16361	49400
010D	Borkovany	Břeclav	Jihomoravský kraj	69175	16810	49028
0110	Borotice	Znojmo	Jihomoravský kraj	67178	16242	48857
0113	Borotín	Blansko	Jihomoravský kraj	67937	16671	49581
0120	Borovník	Brno-venkov	Jihomoravský kraj	59451	16229	49355
012B	Bořetice	Břeclav	Jihomoravský kraj	69108	16853	48913
0131	Bořitov	Blansko	Jihomoravský kraj	67921	16591	49425
0133	Boskovice	Blansko	Jihomoravský kraj	68001	16660	49487
0134	Boskovštejn	Znojmo	Jihomoravský kraj	67154	15929	48982
0138	Bošovice	Vyškov	Jihomoravský kraj	68354	16836	49053
0142	Božice	Znojmo	Jihomoravský kraj	67164	16288	48836
014F	Braníškov	Brno-venkov	Jihomoravský kraj	66471	16345	49294
0151	Branišovice	Brno-venkov	Jihomoravský kraj	67177	16431	48962
0153	Brankovice	Vyškov	Jihomoravský kraj	68333	17134	49156
015B	Bratčice	Brno-venkov	Jihomoravský kraj	66467	16523	49065
0170	Brno	Brno-město	Jihomoravský kraj	60200	16606	49195
0171	Brod nad Dyjí	Břeclav	Jihomoravský kraj	69181	16535	48875
017F	Brťov-Jeneč	Blansko	Jihomoravský kraj	67921	16517	49413
0180	Brumov	Brno-venkov	Jihomoravský kraj	67923	16425	49462
0182	Brumovice	Břeclav	Jihomoravský kraj	69111	16896	48960
018C	Břeclav	Břeclav	Jihomoravský kraj	69002	16882	48753
0194	Březí	Břeclav	Jihomoravský kraj	69181	16567	48819
019D	Březina	Brno-venkov	Jihomoravský kraj	67905	16755	49282
019E	Březina	Brno-venkov	Jihomoravský kraj	66601	16749	49281
019F	Březina (vojenský újezd)	Vyškov	Jihomoravský kraj	79805	16960	49368
01B5	Břežany	Znojmo	Jihomoravský kraj	67165	16341	48870
01C3	Bučovice	Vyškov	Jihomoravský kraj	68501	17003	49149
01DE	Bukovany	Hodonín	Jihomoravský kraj	69631	17100	49042
01E5	Bukovice	Brno-venkov	Jihomoravský kraj	67923	16489	49406
01E7	Bukovina	Blansko	Jihomoravský kraj	67905	16773	49297
01EB	Bukovinka	Blansko	Jihomoravský kraj	67905	16805	49294
01F0	Bulhary	Břeclav	Jihomoravský kraj	69189	16748	48831
01FE	Býkovice	Blansko	Jihomoravský kraj	67971	16538	49430
0216	Bzenec	Hodonín	Jihomoravský kraj	69681	17266	48973
0226	Cetkovice	Blansko	Jihomoravský kraj	67938	16721	49578
0230	Citonice	Znojmo	Jihomoravský kraj	67101	15964	48884
0235	Crhov	Blansko	Jihomoravský kraj	67974	16434	49545
0239	Ctidružice	Znojmo	Jihomoravský kraj	67154	15860	48982
023D	Cvrčovice	Brno-venkov	Jihomoravský kraj	69123	16514	48993
0251	Čebín	Brno-venkov	Jihomoravský kraj	66423	16478	49313
025C	Čejč	Hodonín	Jihomoravský kraj	69614	16965	48946
025F	Čejkovice	Hodonín	Jihomoravský kraj	69615	16942	48906
0260	Čejkovice	Znojmo	Jihomoravský kraj	67178	16287	48877
0269	Čeložnice	Hodonín	Jihomoravský kraj	69651	17154	49051
0273	Čermákovice	Znojmo	Jihomoravský kraj	67173	16195	49032
0279	Černá Hora	Blansko	Jihomoravský kraj	67921	16581	49413
0288	Černín	Znojmo	Jihomoravský kraj	67153	16021	48983
0292	Černovice	Blansko	Jihomoravský kraj	67975	16423	49483
0299	Černvír	Brno-venkov	Jihomoravský kraj	59262	16346	49445
02A9	Česká	Brno-venkov	Jihomoravský kraj	66431	16565	49280
02EA	Čučice	Brno-venkov	Jihomoravský kraj	66491	16278	49137
02F2	Dambořice	Hodonín	Jihomoravský kraj	69635	16917	49038
02F3	Damnice	Znojmo	Jihomoravský kraj	67178	16374	48920
02FC	Deblín	Brno-venkov	Jihomoravský kraj	66475	16346	49320
030D	Deštná	Blansko	Jihomoravský kraj	67961	16563	49612
0311	Dětkovice	Vyškov	Jihomoravský kraj	68323	17144	49272
031B	Diváky	Břeclav	Jihomoravský kraj	69171	16791	48988
0325	Dlouhá Lhota	Blansko	Jihomoravský kraj	67971	16509	49428
0335	Dobelice	Znojmo	Jihomoravský kraj	67201	16278	49017
0341	Dobré Pole	Břeclav	Jihomoravský kraj	69181	16535	48824
0344	Dobročkovice	Vyškov	Jihomoravský kraj	68333	17109	49163
035E	Dobřínsko	Znojmo	Jihomoravský kraj	67201	16261	49052
0362	Dobšice	Znojmo	Jihomoravský kraj	67182	16085	48848
0372	Dolenice	Znojmo	Jihomoravský kraj	67178	16365	48909
0378	Dolní Bojanovice	Hodonín	Jihomoravský kraj	69617	17028	48858
