Id	Obec	Okres	Kraj	PSČ	X	Y
0001	Adamov	České Budějovice	Jihočeský kraj	37371	14539	49000
0008	Albrechtice nad Vltavou	Písek	Jihočeský kraj	39816	14302	49253
0014	Babice	Prachatice	Jihočeský kraj	38411	14237	49024
0025	Balkova Lhota	Tábor	Jihočeský kraj	39131	14608	49452
0028	Báňovice	Jindřichův Hradec	Jihočeský kraj	38001	15490	49011
0036	Bavorov	Strakonice	Jihočeský kraj	38773	14079	49121
003B	Bečice	České Budějovice	Jihočeský kraj	37501	14501	49215
003C	Bečice	Tábor	Jihočeský kraj	39175	14539	49381
0041	Bednárec	Jindřichův Hradec	Jihočeský kraj	37842	15093	49195
0042	Bednáreček	Jindřichův Hradec	Jihočeský kraj	37842	15144	49210
0049	Bechyně	Tábor	Jihočeský kraj	39165	14468	49295
0053	Bělčice	Strakonice	Jihočeský kraj	38743	13875	49502
0054	Běleč	Tábor	Jihočeský kraj	39143	14837	49543
0064	Benešov nad Černou	Český Krumlov	Jihočeský kraj	38282	14627	48729
006B	Bernartice	Písek	Jihočeský kraj	39843	14381	49368
0073	Besednice	Český Krumlov	Jihočeský kraj	38281	14556	48790
0079	Bezdědovice	Strakonice	Jihočeský kraj	38801	13880	49444
009A	Bílsko	Strakonice	Jihočeský kraj	38773	14059	49159
00B2	Blatná	Strakonice	Jihočeský kraj	38801	13881	49424
00BA	Blažejov	Jindřichův Hradec	Jihočeský kraj	37852	15096	49142
00D8	Bohdalovice	Český Krumlov	Jihočeský kraj	38101	14286	48742
00DD	Bohumilice	Prachatice	Jihočeský kraj	38481	13816	49096
00DF	Bohunice	Prachatice	Jihočeský kraj	38422	13973	49132
0100	Boletice (vojenský újezd)	Český Krumlov	Jihočeský kraj	38229	14217	48824
0108	Borek	České Budějovice	Jihočeský kraj	37367	14500	49023
010E	Borkovice	Tábor	Jihočeský kraj	39181	14643	49208
0112	Borotín	Tábor	Jihočeský kraj	39135	14613	49505
0116	Borová Lada	Prachatice	Jihočeský kraj	38492	13659	48989
0117	Borovany	České Budějovice	Jihočeský kraj	37312	14642	48898
0118	Borovany	Písek	Jihočeský kraj	39843	14392	49343
011A	Borovnice	České Budějovice	Jihočeský kraj	37007	14519	48912
0126	Boršov nad Vltavou	České Budějovice	Jihočeský kraj	37382	14434	48921
