Id	Obec	Okres	Kraj	PSČ	X	Y
0	Abertamy	Karlovy Vary	Karlovarský kraj	36235	12.818377	50.368855
12	Andělská Hora	Karlovy Vary	Karlovarský kraj	36471	12.962918	50.20449
19	Aš	Cheb	Karlovarský kraj	35201	12.195113	50.223983
62	Bečov nad Teplou	Karlovy Vary	Karlovarský kraj	36464	12.838429	50.083561
244	Bochov	Karlovy Vary	Karlovarský kraj	36471	13.045282	50.151007
321	Boží Dar	Karlovy Vary	Karlovarský kraj	36301	12.924571	50.409844
323	Božičany	Karlovy Vary	Karlovarský kraj	36225	12.769752	50.258843
359	Bražec	Karlovy Vary	Karlovarský kraj	36471	13.046575	50.172681
425	Březová	Karlovy Vary	Karlovarský kraj	36001	12.870986	50.197494
426	Březová	Sokolov	Karlovarský kraj	35601	12.643488	50.145752
447	Bublava	Sokolov	Karlovarský kraj	35801	12.505287	50.374494
479	Bukovany	Sokolov	Karlovarský kraj	35755	12.572766	50.166437
558	Citice	Sokolov	Karlovarský kraj	35601	12.61344	50.162671
637	Černava	Karlovy Vary	Karlovarský kraj	36221	12.711084	50.291365
717	Čichalov	Karlovy Vary	Karlovarský kraj	36452	13.17119	50.12436
752	Dalovice	Karlovy Vary	Karlovarský kraj	36263	12.895923	50.247898
760	Dasnice	Sokolov	Karlovarský kraj	35709	12.567344	50.146566
773	Děpoltovice	Karlovy Vary	Karlovarský kraj	36225	12.814015	50.294681
929	Dolní Nivy	Sokolov	Karlovarský kraj	35601	12.637158	50.243218
940	Dolní Rychnov	Sokolov	Karlovarský kraj	35604	12.645192	50.164731
957	Dolní Žandov	Cheb	Karlovarský kraj	35493	12.551125	50.018055
990	Doupovské Hradiště	Karlovy Vary	Karlovarský kraj	36272	13	50.25
1024	Drmoul	Cheb	Karlovarský kraj	35301	12.665618	49.93907
1107	Františkovy Lázně	Cheb	Karlovarský kraj	35101	12.349781	50.120159
1126	Habartov	Sokolov	Karlovarský kraj	35709	12.550653	50.183078
1142	Hájek	Karlovy Vary	Karlovarský kraj	36301	12.919811	50.283247
1171	Hazlov	Cheb	Karlovarský kraj	35132	12.272617	50.156457
1308	Horní Blatná	Karlovy Vary	Karlovarský kraj	36235	12.771048	50.390493
1373	Horní Slavkov	Sokolov	Karlovarský kraj	35731	12.807697	50.138742
1401	Hory	Karlovy Vary	Karlovarský kraj	36001	12.789994	50.213854
1485	Hradiště (vojenský újezd)	Karlovy Vary	Karlovarský kraj	36006	13.046831	50.174549
1492	Hranice	Cheb	Karlovarský kraj	35124	12.175894	50.304702
1513	Hroznětín	Karlovy Vary	Karlovarský kraj	36233	12.871918	50.309508
1589	Cheb	Cheb	Karlovarský kraj	35002	12.369964	50.079633
1607	Chlum Svaté Maří	Sokolov	Karlovarský kraj	35709	12.535762	50.149949
1631	Chodov	Karlovy Vary	Karlovarský kraj	36464	12.863016	50.068626
1632	Chodov	Sokolov	Karlovarský kraj	35735	12.747709	50.23983
1738	Chyše	Karlovy Vary	Karlovarský kraj	36453	13.249179	50.104736
1757	Jáchymov	Karlovy Vary	Karlovarský kraj	36251	12.934767	50.358573
1828	Jenišov	Karlovy Vary	Karlovarský kraj	36001	12.800046	50.226649
1890	Jindřichovice	Sokolov	Karlovarský kraj	35801	12.602422	50.28276
1922	Josefov	Sokolov	Karlovarský kraj	35709	12.579546	50.211627
1927	Kaceřov	Sokolov	Karlovarský kraj	35751	12.504505	50.14885
1994	Karlovy Vary	Karlovy Vary	Karlovarský kraj	36001	12.872062	50.231952
2137	Kolová	Karlovy Vary	Karlovarský kraj	36001	12.903449	50.187545
2279	Krajková	Sokolov	Karlovarský kraj	35709	12.534192	50.216079
2293	Královské Poříčí	Sokolov	Karlovarský kraj	35601	12.67954	50.19412
2303	Kraslice	Sokolov	Karlovarský kraj	35801	12.517588	50.323835
2304	Krásná	Cheb	Karlovarský kraj	35201	12.168117	50.234889
