Id	Obec	Okres	Kraj	PSČ	X	Y
0010	Arneštovice	Pelhřimov	Kraj Vysočina	39501	15117	49531
0011	Arnolec	Jihlava	Kraj Vysočina	58827	15823	49436
0015	Babice	Třebíč	Kraj Vysočina	67544	15770	49135
001D	Bácovice	Pelhřimov	Kraj Vysočina	39301	15158	49455
0020	Bačice	Třebíč	Kraj Vysočina	67555	16027	49081
0021	Bačkov	Havlíčkův Brod	Kraj Vysočina	58291	15462	49735
0022	Bačkovice	Třebíč	Kraj Vysočina	67532	15589	48965
0024	Baliny	Žďár nad Sázavou	Kraj Vysočina	59401	15952	49332
002F	Bartoušov	Havlíčkův Brod	Kraj Vysočina	58001	15618	49601
0034	Batelov	Jihlava	Kraj Vysočina	58851	15410	49290
004A	Bělá	Havlíčkův Brod	Kraj Vysočina	58401	15240	49754
004B	Bělá	Pelhřimov	Kraj Vysočina	39301	15260	49312
0068	Benetice	Třebíč	Kraj Vysočina	67506	15867	49297
007A	Bezděkov	Havlíčkův Brod	Kraj Vysočina	58301	15730	49732
009D	Bílý Kámen	Jihlava	Kraj Vysočina	58841	15560	49417
00A7	Biskupice-Pulkov	Třebíč	Kraj Vysočina	67558	16009	49038
00AC	Bítovčice	Jihlava	Kraj Vysočina	58822	15734	49368
00B3	Blatnice	Třebíč	Kraj Vysočina	67551	15871	49070
00BE	Blažkov	Žďár nad Sázavou	Kraj Vysočina	59251	16185	49473
00C2	Blízkov	Žďár nad Sázavou	Kraj Vysočina	59442	15908	49400
00CD	Bobrová	Žďár nad Sázavou	Kraj Vysočina	59255	16118	49482
00CE	Bobrůvka	Žďár nad Sázavou	Kraj Vysočina	59255	16093	49448
00D4	Bohdalec	Žďár nad Sázavou	Kraj Vysočina	59255	16059	49474
00D6	Bohdalín	Pelhřimov	Kraj Vysočina	39491	15015	49307
00D7	Bohdalov	Žďár nad Sázavou	Kraj Vysočina	59213	15876	49480
00E0	Bohuňov	Žďár nad Sázavou	Kraj Vysočina	59301	16202	49560
00E4	Bohuslavice	Jihlava	Kraj Vysočina	58856	15575	49149
00EC	Bohušice	Třebíč	Kraj Vysočina	67551	15852	49085
00F5	Bochovice	Třebíč	Kraj Vysočina	67505	15896	49320
00F9	Bojiště	Havlíčkův Brod	Kraj Vysočina	58401	15286	49667
0102	Boňkov	Havlíčkův Brod	Kraj Vysočina	58255	15447	49547
0109	Borek	Havlíčkův Brod	Kraj Vysočina	58282	15590	49791
0119	Borovná	Jihlava	Kraj Vysočina	58856	15394	49164
