Id	Obec	Okres	Kraj	PSČ	X	Y
0004	Adršpach	Náchod	Královéhradecký kraj	54957	16083	50624
0007	Albrechtice nad Orlicí	Rychnov nad Kněžnou	Královéhradecký kraj	51722	16064	50139
0016	Babice	Hradec Králové	Královéhradecký kraj	50351	15585	50192
001E	Bačalky	Jičín	Královéhradecký kraj	50723	15153	50385
001F	Bačetín	Rychnov nad Kněžnou	Královéhradecký kraj	51801	16233	50299
002A	Barchov	Hradec Králové	Královéhradecký kraj	50401	15567	50197
002E	Bartošovice v Orlických horách	Rychnov nad Kněžnou	Královéhradecký kraj	51761	16547	50164
0032	Bašnice	Jičín	Královéhradecký kraj	50801	15605	50334
0035	Batňovice	Trutnov	Královéhradecký kraj	54237	16036	50517
0047	Běchary	Jičín	Královéhradecký kraj	50732	15292	50314
0057	Běleč nad Orlicí	Hradec Králové	Královéhradecký kraj	50346	15942	50198
005E	Benátky	Hradec Králové	Královéhradecký kraj	50303	15736	50310
006C	Bernartice	Trutnov	Královéhradecký kraj	54204	15965	50644
007E	Bezděkov nad Metují	Náchod	Královéhradecký kraj	54964	16229	50509
008B	Bílá Třemešná	Trutnov	Královéhradecký kraj	54472	15741	50444
008F	Bílé Poličany	Trutnov	Královéhradecký kraj	54452	15731	50390
009C	Bílsko u Hořic	Jičín	Královéhradecký kraj	50801	15600	50369
00A0	Bílý Újezd	Rychnov nad Kněžnou	Královéhradecký kraj	51801	16225	50238
00C0	Blešno	Hradec Králové	Královéhradecký kraj	50346	15930	50214
00D0	Boháňka	Jičín	Královéhradecký kraj	50801	15708	50365
00D1	Boharyně	Hradec Králové	Královéhradecký kraj	50323	15630	50203
00DA	Bohdašín	Rychnov nad Kněžnou	Královéhradecký kraj	51801	16225	50338
00E5	Bohuslavice	Náchod	Královéhradecký kraj	54906	16088	50312
00FD	Bolehošť	Rychnov nad Kněžnou	Královéhradecký kraj	51731	16077	50213
010A	Borek	Jičín	Královéhradecký kraj	50771	15654	50438
010F	Borohrádek	Rychnov nad Kněžnou	Královéhradecký kraj	51724	16093	50097
0114	Borová	Náchod	Královéhradecký kraj	54701	16253	50386
011C	Borovnice	Rychnov nad Kněžnou	Královéhradecký kraj	51741	16245	50063
011D	Borovnice	Trutnov	Královéhradecký kraj	54477	15617	50509
