Id	Obec	Okres	Kraj	PSČ	X	Y
0009	Albrechtice v Jizerských horách	Jablonec nad Nisou	Liberecký kraj	46843	15275	50762
0044	Bedřichov	Jablonec nad Nisou	Liberecký kraj	46812	15142	50791
004C	Bělá	Semily	Liberecký kraj	51401	15445	50534
0061	Benecko	Semily	Liberecký kraj	51237	15548	50666
0066	Benešov u Semil	Semily	Liberecký kraj	51206	15368	50603
0080	Bezděz	Česká Lípa	Liberecký kraj	47201	14722	50533
0087	Bílá	Liberec	Liberecký kraj	46343	15035	50664
009E	Bílý Kostel nad Nisou	Liberec	Liberecký kraj	46331	14924	50823
009F	Bílý Potok	Liberec	Liberecký kraj	46362	15222	50873
00B0	Blatce	Česká Lípa	Liberecký kraj	47201	14603	50502
00C4	Blíževedly	Česká Lípa	Liberecký kraj	47104	14396	50608
00D3	Bohatice	Česká Lípa	Liberecký kraj	47002	14679	50669
013D	Bozkov	Semily	Liberecký kraj	51213	15337	50640
0147	Bradlecká Lhota	Semily	Liberecký kraj	50713	15396	50488
016F	Brniště	Česká Lípa	Liberecký kraj	47129	14703	50729
01E9	Bukovina u Čisté	Semily	Liberecký kraj	51401	15583	50542
01F1	Bulovka	Liberec	Liberecký kraj	46401	15123	50971
0203	Bystrá nad Jizerou	Semily	Liberecký kraj	51301	15401	50604
0225	Cetenov	Liberec	Liberecký kraj	46348	14917	50644
023C	Cvikov	Česká Lípa	Liberecký kraj	47154	14633	50777
0290	Černousy	Liberec	Liberecký kraj	46373	15050	51004
02AF	Česká Lípa	Česká Lípa	Liberecký kraj	47001	14539	50678
02BD	Český Dub	Liberec	Liberecký kraj	46343	14996	50661
02DC	Čistá u Horek	Semily	Liberecký kraj	51235	15607	50531
02E8	Čtveřín	Liberec	Liberecký kraj	46345	15100	50592
02EF	Dalešice	Jablonec nad Nisou	Liberecký kraj	46802	15184	50681
0306	Desná	Jablonec nad Nisou	Liberecký kraj	46861	15313	50754
0314	Dětřichov	Liberec	Liberecký kraj	46401	15036	50892
0332	Dlouhý Most	Liberec	Liberecký kraj	46312	15075	50711
0367	Doksy	Česká Lípa	Liberecký kraj	47201	14654	50565
03AD	Dolní Řasnice	Liberec	Liberecký kraj	46401	15168	50945
0412	Držkov	Jablonec nad Nisou	Liberecký kraj	46824	15303	50687
0424	Dubá	Česká Lípa	Liberecký kraj	47141	14540	50540
042F	Dubnice	Česká Lípa	Liberecký kraj	47126	14808	50726
0457	Frýdlant	Liberec	Liberecký kraj	46401	15079	50921
0459	Frýdštejn	Jablonec nad Nisou	Liberecký kraj	46342	15158	50652
0465	Habartice	Liberec	Liberecký kraj	46373	15065	51019
0474	Háje nad Jizerou	Semily	Liberecký kraj	51301	15421	50613
047E	Hamr na Jezeře	Česká Lípa	Liberecký kraj	47128	14838	50702
0484	Harrachov	Semily	Liberecký kraj	51246	15431	50772
0495	Hejnice	Liberec	Liberecký kraj	46362	15181	50877
04A4	Heřmanice	Liberec	Liberecký kraj	46401	15006	50897
04B8	Hlavice	Liberec	Liberecký kraj	46348	14926	50631
04E6	Hodkovice nad Mohelkou	Liberec	Liberecký kraj	46342	15089	50665
04F1	Holany	Česká Lípa	Liberecký kraj	47002	14493	50618
04F6	Holenice	Semily	Liberecký kraj	50601	15300	50520
0513	Horka u Staré Paky	Semily	Liberecký kraj	51234	15575	50526
0520	Horní Branná	Semily	Liberecký kraj	51236	15571	50608
053B	Horní Libchava	Česká Lípa	Liberecký kraj	47111	14493	50712
0550	Horní Police	Česká Lípa	Liberecký kraj	47106	14404	50704
0558	Horní Řasnice	Liberec	Liberecký kraj	46401	15201	50965
05C6	Hrádek nad Nisou	Liberec	Liberecký kraj	46334	14844	50852
05EB	Hrubá Skála	Semily	Liberecký kraj	51101	15200	50544
0643	Chlum	Česká Lípa	Liberecký kraj	47201	14562	50578
0683	Chotovice	Česká Lípa	Liberecký kraj	47301	14559	50740
068A	Chotyně	Liberec	Liberecký kraj	46334	14869	50836
0694	Chrastava	Liberec	Liberecký kraj	46331	14968	50817
06B4	Chuchelna	Semily	Liberecký kraj	51301	15300	50602
06D4	Jablonec nad Jizerou	Semily	Liberecký kraj	51243	15429	50703
06D5	Jablonec nad Nisou	Jablonec nad Nisou	Liberecký kraj	46601	15170	50722
06D8	Jablonné v Podještědí	Liberec	Liberecký kraj	47125	14760	50765
06F3	Janov nad Nisou	Jablonec nad Nisou	Liberecký kraj	46811	15169	50772
06F7	Janovice v Podještědí	Liberec	Liberecký kraj	46353	14824	50762
06FA	Janův Důl	Liberec	Liberecký kraj	46352	14940	50704
0725	Jenišovice	Jablonec nad Nisou	Liberecký kraj	46833	15136	50627
072B	Jeřmanice	Liberec	Liberecký kraj	46312	15093	50699
0732	Jesenný	Semily	Liberecký kraj	51212	15338	50660
0735	Jestřabí v Krkonoších	Semily	Liberecký kraj	51401	15491	50680
0737	Jestřebí	Česká Lípa	Liberecký kraj	47161	14584	50608
0754	Jilemnice	Semily	Liberecký kraj	51401	15506	50608
0756	Jílové u Držkova	Jablonec nad Nisou	Liberecký kraj	46822	15295	50670
0764	Jindřichovice pod Smrkem	Liberec	Liberecký kraj	46365	15249	50960
076D	Jiřetín pod Bukovou	Jablonec nad Nisou	Liberecký kraj	46843	15263	50755
0783	Josefův Důl	Jablonec nad Nisou	Liberecký kraj	46844	15231	50782
0786	Kacanovy	Semily	Liberecký kraj	51101	15145	50550
07A5	Kamenický Šenov	Česká Lípa	Liberecký kraj	47114	14472	50773
07C7	Karlovice	Semily	Liberecký kraj	51101	15207	50561
