Id	Obec	Okres	Kraj	PSČ	X	Y
000B	Alojzov	Prostějov	Olomoucký kraj	79804	17041	49423
0017	Babice	Olomouc	Olomoucký kraj	78501	17260	49737
0040	Bedihošť	Prostějov	Olomoucký kraj	79821	17166	49448
0051	Bělá pod Pradědem	Jeseník	Olomoucký kraj	79001	17196	50164
0058	Bělkovice-Lašťany	Olomouc	Olomoucký kraj	78316	17317	49668
005A	Bělotín	Přerov	Olomoucký kraj	75364	17806	49591
0069	Beňov	Přerov	Olomoucký kraj	75002	17501	49417
006D	Bernartice	Jeseník	Olomoucký kraj	79057	17078	50389
0085	Bezuchov	Přerov	Olomoucký kraj	75354	17608	49462
008A	Bílá Lhota	Olomouc	Olomoucký kraj	78321	16975	49709
008C	Bílá Voda	Jeseník	Olomoucký kraj	79069	16916	50442
0099	Bílovice-Lutotín	Prostějov	Olomoucký kraj	79841	17043	49511
009B	Bílsko	Olomouc	Olomoucký kraj	78322	17019	49644
00A3	Biskupice	Prostějov	Olomoucký kraj	79812	17236	49459
00B1	Blatec	Olomouc	Olomoucký kraj	78375	17238	49528
00CA	Bludov	Šumperk	Olomoucký kraj	78961	16928	49941
00DB	Bohdíkov	Šumperk	Olomoucký kraj	78964	16904	50010
00E2	Bohuňovice	Olomouc	Olomoucký kraj	78314	17287	49663
00E7	Bohuslavice	Prostějov	Olomoucký kraj	79856	16957	49620
00E8	Bohuslavice	Šumperk	Olomoucký kraj	78972	16940	49826
00EB	Bohuslávky	Přerov	Olomoucký kraj	75131	17567	49555
00F0	Bohutín	Šumperk	Olomoucký kraj	78962	16882	49953
00F3	Bochoř	Přerov	Olomoucký kraj	75002	17428	49421
013A	Bousín	Prostějov	Olomoucký kraj	79861	16889	49455
013C	Bouzov	Olomouc	Olomoucký kraj	78325	16892	49704
0155	Branná	Šumperk	Olomoucký kraj	78825	17011	50153
0160	Bratrušov	Šumperk	Olomoucký kraj	78701	16949	50009
