Id	Obec	Okres	Kraj	PSČ	X	Y
6	Albrechtice	Ústí nad Orlicí	Pardubický kraj	56301	16.644801	49.927643
14	Anenská Studánka	Ústí nad Orlicí	Pardubický kraj	56301	16.54033	49.849856
38	Banín	Svitavy	Pardubický kraj	56802	16.46203	49.665712
43	Barchov	Pardubice	Pardubický kraj	53002	15.68091	49.999411
79	Bělá nad Svitavou	Svitavy	Pardubický kraj	56905	16.482734	49.640287
82	Bělá u Jevíčka	Svitavy	Pardubický kraj	56943	16.646009	49.639593
95	Benátky	Svitavy	Pardubický kraj	57001	16.326847	49.854287
116	Běstovice	Ústí nad Orlicí	Pardubický kraj	56501	16.211026	50.020237
117	Běstvina	Chrudim	Pardubický kraj	53845	15.595868	49.837134
120	Bezděčí u Trnávky	Svitavy	Pardubický kraj	56943	16.763539	49.692503
123	Bezděkov	Pardubice	Pardubický kraj	53501	15.644768	50.008869
164	Biskupice	Chrudim	Pardubický kraj	53843	15.512907	49.872861
165	Biskupice	Svitavy	Pardubický kraj	56943	16.758148	49.647572
171	Bítovany	Chrudim	Pardubický kraj	53851	15.86473	49.897307
225	Bohuňov	Svitavy	Pardubický kraj	56904	16.463955	49.599198
227	Bohuňovice	Svitavy	Pardubický kraj	57001	16.262964	49.907982
246	Bojanov	Chrudim	Pardubický kraj	53826	15.704985	49.841414
260	Bor u Skutče	Chrudim	Pardubický kraj	53944	16.127052	49.822412
267	Borek	Pardubice	Pardubický kraj	53401	15.856639	50.127301
277	Borová	Svitavy	Pardubický kraj	56982	16.162337	49.741782
295	Borušov	Svitavy	Pardubický kraj	57101	16.740556	49.780652
303	Bořice	Chrudim	Pardubický kraj	53862	15.925435	49.97695
311	Bošín	Ústí nad Orlicí	Pardubický kraj	56501	16.203069	50.034233
315	Bousov	Chrudim	Pardubický kraj	53843	15.535529	49.901849
332	Brandýs nad Orlicí	Ústí nad Orlicí	Pardubický kraj	56112	16.285384	50.002042
362	Brloh	Pardubice	Pardubický kraj	53501	15.557385	50.000688
364	Brněnec	Svitavy	Pardubický kraj	56904	16.522125	49.627449
398	Břehy	Pardubice	Pardubický kraj	53501	15.577582	50.051994
410	Březina	Svitavy	Pardubický kraj	56923	16.619713	49.651038
416	Březinky	Svitavy	Pardubický kraj	56943	16.78703	49.662787
417	Březiny	Svitavy	Pardubický kraj	57201	16.118233	49.690726
431	Březová nad Svitavou	Svitavy	Pardubický kraj	56902	16.518096	49.644277
450	Bučina	Ústí nad Orlicí	Pardubický kraj	56601	16.192941	49.896972
460	Budislav	Svitavy	Pardubický kraj	56965	16.174739	49.801511
488	Bukovina nad Labem	Pardubice	Pardubický kraj	53352	15.823385	50.12496
490	Bukovina u Přelouče	Pardubice	Pardubický kraj	53501	15.562977	49.948338
492	Bukovka	Pardubice	Pardubický kraj	53341	15.625408	50.101131
512	Bylany	Chrudim	Pardubický kraj	53801	15.733261	49.957375
