Id	Obec	Okres	Kraj	PSČ	X	Y
001C	Babylon	Domažlice	Plzeňský kraj	34401	12862	49398
0039	Bdeněves	Plzeň-sever	Plzeňský kraj	33032	13235	49769
0045	Běhařov	Klatovy	Plzeňský kraj	34021	13160	49344
004E	Bělá nad Radbuzou	Domažlice	Plzeňský kraj	34526	12717	49591
0067	Benešovice	Tachov	Plzeňský kraj	34901	12901	49726
0076	Běšiny	Klatovy	Plzeňský kraj	33901	13312	49301
007C	Bezděkov	Klatovy	Plzeňský kraj	33901	13297	49379
007D	Bezděkov	Rokycany	Plzeňský kraj	33824	13596	49824
0081	Bezdružice	Tachov	Plzeňský kraj	34953	12971	49906
0086	Bezvěrov	Plzeň-sever	Plzeňský kraj	33041	13059	49995
0095	Bílov	Plzeň-sever	Plzeňský kraj	33141	13424	50017
00A1	Biřkov	Klatovy	Plzeňský kraj	33401	13230	49518
00B4	Blatnice	Plzeň-sever	Plzeňský kraj	33025	13156	49719
00BC	Blažim	Plzeň-sever	Plzeňský kraj	33038	13047	49916
00C3	Blížejov	Domažlice	Plzeňský kraj	34545	12989	49500
00C6	Blovice	Plzeň-jih	Plzeňský kraj	33601	13540	49582
00F2	Bohy	Plzeň-sever	Plzeňský kraj	33141	13575	49937
00FF	Bolešiny	Klatovy	Plzeňský kraj	33901	13361	49410
0101	Bolkov	Plzeň-jih	Plzeňský kraj	33401	13223	49533
0103	Bor	Tachov	Plzeňský kraj	34802	12775	49711
0121	Borovno	Plzeň-jih	Plzeňský kraj	33561	13690	49622
0122	Borovy	Plzeň-jih	Plzeňský kraj	33401	13302	49525
016E	Brnířov	Domažlice	Plzeňský kraj	34506	13049	49382
0172	Brod nad Tichou	Tachov	Plzeňský kraj	34815	12741	49835
0178	Brodeslavy	Plzeň-sever	Plzeňský kraj	33141	13557	49953
017A	Broumov	Tachov	Plzeňský kraj	34815	12606	49889
018B	Břasy	Rokycany	Plzeňský kraj	33824	13578	49837
019B	Březina	Rokycany	Plzeňský kraj	33824	13596	49807
01B6	Břežany	Klatovy	Plzeňský kraj	34101	13617	49348
01C1	Bučí	Plzeň-sever	Plzeňský kraj	33152	13302	49885
01C7	Budětice	Klatovy	Plzeňský kraj	34201	13584	49283
01D7	Bujesily	Rokycany	Plzeňský kraj	33141	13574	49914
01DC	Buková	Plzeň-jih	Plzeňský kraj	33452	13158	49537
01E4	Bukovec	Domažlice	Plzeňský kraj	34562	12995	49586
01ED	Bukovník	Klatovy	Plzeňský kraj	34201	13661	49222
01F6	Bušovice	Rokycany	Plzeňský kraj	33824	13534	49795
0219	Cebiv	Tachov	Plzeňský kraj	34952	12979	49829
021C	Cekov	Rokycany	Plzeňský kraj	33808	13763	49821
0237	Ctiboř	Tachov	Plzeňský kraj	34701	12610	49827
0241	Čachrov	Klatovy	Plzeňský kraj	33901	13302	49265
024A	Částkov	Tachov	Plzeňský kraj	34801	12673	49756
0255	Čečovice	Domažlice	Plzeňský kraj	34562	13021	49585
026A	Čeminy	Plzeň-sever	Plzeňský kraj	33033	13253	49800
0275	Čermná	Domažlice	Plzeňský kraj	34561	13116	49531
0283	Černíkov	Klatovy	Plzeňský kraj	34506	13130	49422
