Id	Obec	Okres	Kraj	PSČ	X	Y
0003	Adamov	Kutná Hora	Středočeský kraj	28601	15409	49857
0018	Babice	Praha-východ	Středočeský kraj	25101	14715	50008
0023	Bakov nad Jizerou	Mladá Boleslav	Středočeský kraj	29401	14941	50482
002C	Barchovice	Kolín	Středočeský kraj	28163	14969	49944
0033	Bašť	Praha-východ	Středočeský kraj	25065	14477	50205
0038	Bavoryně	Beroun	Středočeský kraj	26751	13961	49895
003A	Bdín	Rakovník	Středočeský kraj	27054	13858	50214
003F	Bečváry	Kolín	Středočeský kraj	28143	15079	49956
0050	Bělá pod Bezdězem	Mladá Boleslav	Středočeský kraj	29421	14804	50501
0056	Běleč	Kladno	Středočeský kraj	27363	13993	50056
0059	Běloky	Kladno	Středočeský kraj	27353	14220	50131
005C	Bělušice	Kolín	Středočeský kraj	28002	15322	50069
0060	Benátky nad Jizerou	Mladá Boleslav	Středočeský kraj	29471	14824	50289
0063	Benešov	Benešov	Středočeský kraj	25601	14687	49783
006A	Bernardov	Kutná Hora	Středočeský kraj	28401	15398	50014
006E	Bernartice	Benešov	Středočeský kraj	25765	15129	49675
0070	Beroun	Beroun	Středočeský kraj	26601	14086	49967
0071	Běrunice	Nymburk	Středočeský kraj	28908	15333	50185
0072	Beřovice	Kladno	Středočeský kraj	27371	14123	50269
0077	Běštín	Beroun	Středočeský kraj	26724	14016	49807
007F	Bezděkov pod Třemšínem	Příbram	Středočeský kraj	26242	13878	49577
0084	Bezno	Mladá Boleslav	Středočeský kraj	29429	14795	50367
0089	Bílá Hlína	Mladá Boleslav	Středočeský kraj	29501	14925	50532
008E	Bílé Podolí	Kutná Hora	Středočeský kraj	28572	15491	49956
0091	Bílichov	Kladno	Středočeský kraj	27374	13916	50262
0093	Bílkovice	Benešov	Středočeský kraj	25726	14861	49759
00A8	Bítouchov	Mladá Boleslav	Středočeský kraj	29401	14889	50475
00BB	Blažejovice	Benešov	Středočeský kraj	25768	15200	49619
00C1	Blevice	Kladno	Středočeský kraj	27328	14236	50209
00CB	Bludov	Kutná Hora	Středočeský kraj	28601	15255	49807
00CC	Bobnice	Nymburk	Středočeský kraj	28931	15053	50219
00D9	Bohdaneč	Kutná Hora	Středočeský kraj	28525	15222	49778
00DC	Bohostice	Příbram	Středočeský kraj	26231	14138	49602
00F1	Bohutín	Příbram	Středočeský kraj	26241	13943	49655
00F8	Bojanovice	Praha-západ	Středočeský kraj	25206	14352	49854
0107	Boreč	Mladá Boleslav	Středočeský kraj	29426	14732	50407
010C	Borek	Praha-východ	Středočeský kraj	27714	14647	50222
0111	Borotice	Příbram	Středočeský kraj	26215	14279	49735
011E	Borovnice	Benešov	Středočeský kraj	25765	15018	49648
0129	Bořanovice	Praha-východ	Středočeský kraj	25065	14478	50178
0132	Boseň	Mladá Boleslav	Středočeský kraj	29501	15022	50504
0146	Bradlec	Mladá Boleslav	Středočeský kraj	29306	14910	50451
0148	Brambory	Kutná Hora	Středočeský kraj	28601	15470	49978
014B	Brandýs nad Labem - Stará Boleslav	Praha-východ	Středočeský kraj	25001	14659	50186
014D	Brandýsek	Kladno	Středočeský kraj	27341	14162	50189
0156	Branov	Rakovník	Středočeský kraj	27023	13843	50012
0159	Branžež	Mladá Boleslav	Středočeský kraj	29402	15058	50507
015A	Braškov	Kladno	Středočeský kraj	27351	14100	50102
015C	Bratčice	Kutná Hora	Středočeský kraj	28601	15430	49855
015D	Bratkovice	Příbram	Středočeský kraj	26223	13999	49740
015F	Bratronice	Kladno	Středočeský kraj	27363	14014	50067
0164	Bratřínov	Praha-západ	Středočeský kraj	25205	14340	49842
0166	Brázdim	Praha-východ	Středočeský kraj	25063	14588	50183
0168	Brdy (vojenský újezd)	Příbram	Středočeský kraj	26223	13903	49789
0173	Brodce	Mladá Boleslav	Středočeský kraj	29473	14869	50330
017B	Broumy	Beroun	Středočeský kraj	26742	13852	49955
0196	Březí	Praha-východ	Středočeský kraj	25101	14699	50014
019C	Březina	Mladá Boleslav	Středočeský kraj	29411	15032	50548
01A3	Březnice	Příbram	Středočeský kraj	26272	13950	49557
01A6	Březno	Mladá Boleslav	Středočeský kraj	29406	15005	50406
01AC	Březová	Beroun	Středočeský kraj	26751	13883	49904
01B0	Březová-Oleško	Praha-západ	Středočeský kraj	25245	14411	49904
01B1	Březovice	Mladá Boleslav	Středočeský kraj	29424	14733	50470
01B7	Břežany	Rakovník	Středočeský kraj	27034	13582	50006
01B8	Břežany I	Kolín	Středočeský kraj	28002	15079	50035
01B9	Břežany II	Kolín	Středočeský kraj	28201	14804	50093
01BB	Bříství	Nymburk	Středočeský kraj	28915	14841	50134
01C0	Bubovice	Beroun	Středočeský kraj	26718	14166	49969
01CA	Budiměřice	Nymburk	Středočeský kraj	28802	15098	50195
01DD	Buková u Příbramě	Příbram	Středočeský kraj	26223	14066	49755
01E1	Bukovany	Benešov	Středočeský kraj	25741	14624	49822
01E2	Bukovany	Příbram	Středočeský kraj	26272	14102	49574
01EE	Bukovno	Mladá Boleslav	Středočeský kraj	29301	14840	50446
01F3	Buš	Praha-západ	Středočeský kraj	25208	14384	49803
01F7	Buštěhrad	Kladno	Středočeský kraj	27343	14189	50156
01FB	Býchory	Kolín	Středočeský kraj	28002	15273	50067
01FC	Býkev	Mělník	Středočeský kraj	27601	14418	50347
01FD	Bykoš	Beroun	Středočeský kraj	26701	14063	49883
020C	Bystřice	Benešov	Středočeský kraj	25751	14667	49732
