Id	Obec	Okres	Kraj	PSČ	X	Y
0019	Babice	Uherské Hradiště	Zlínský kraj	68703	17476	49123
0027	Bánov	Uherské Hradiště	Zlínský kraj	68754	17717	48988
0030	Bařice-Velké Těšany	Kroměříž	Zlínský kraj	76701	17426	49245
005B	Bělov	Zlín	Zlínský kraj	76821	17484	49216
0083	Bezměrov	Kroměříž	Zlínský kraj	76701	17334	49329
0097	Bílovice	Uherské Hradiště	Zlínský kraj	68712	17549	49099
00A6	Biskupice	Zlín	Zlínský kraj	76341	17710	49083
00B9	Blazice	Kroměříž	Zlínský kraj	76861	17645	49442
00E9	Bohuslavice nad Vláří	Zlín	Zlínský kraj	76321	17926	49090
00EA	Bohuslavice u Zlína	Zlín	Zlínský kraj	76351	17636	49163
00FA	Bojkovice	Uherské Hradiště	Zlínský kraj	68771	17814	49038
0123	Boršice	Uherské Hradiště	Zlínský kraj	68709	17350	49062
0124	Boršice u Blatnice	Uherské Hradiště	Zlínský kraj	68763	17571	48934
012A	Bořenovice	Kroměříž	Zlínský kraj	76901	17564	49361
0154	Branky	Vsetín	Zlínský kraj	75645	17893	49461
0161	Bratřejov	Zlín	Zlínský kraj	76312	17913	49222
0181	Brumov-Bylnice	Zlín	Zlínský kraj	76331	18022	49092
0185	Brusné	Kroměříž	Zlínský kraj	76861	17660	49363
018F	Břest	Kroměříž	Zlínský kraj	76823	17440	49351
0190	Břestek	Uherské Hradiště	Zlínský kraj	68708	17356	49094
01A4	Březnice	Zlín	Zlínský kraj	76001	17656	49184
01A8	Březolupy	Uherské Hradiště	Zlínský kraj	68713	17580	49121
01AD	Březová	Uherské Hradiště	Zlínský kraj	68767	17742	48922
01AE	Březová	Zlín	Zlínský kraj	76315	17741	48923
01B4	Březůvky	Zlín	Zlínský kraj	76345	17699	49153
01D5	Buchlovice	Uherské Hradiště	Zlínský kraj	68708	17338	49086
020E	Bystřice pod Hostýnem	Kroměříž	Zlínský kraj	76861	17674	49399
020F	Bystřice pod Lopeníkem	Uherské Hradiště	Zlínský kraj	68755	17764	48974
0210	Bystřička	Vsetín	Zlínský kraj	75624	17974	49415
0224	Cetechovice	Kroměříž	Zlínský kraj	76802	17261	49172
024B	Částkov	Uherské Hradiště	Zlínský kraj	68712	17619	49104
030A	Dešná	Zlín	Zlínský kraj	76315	17846	49266
0342	Dobrkovice	Zlín	Zlínský kraj	76307	17669	49094
