Id	Obec	Okres	Kraj	PSČ	X	Y
0012	Arnoltice	Děčín	Ústecký kraj	40714	14264	50837
003D	Bečov	Most	Ústecký kraj	43526	13717	50449
0048	Bechlín	Litoměřice	Ústecký kraj	41186	14341	50416
005D	Bělušice	Most	Ústecký kraj	43401	13762	50449
0065	Benešov nad Ploučnicí	Děčín	Ústecký kraj	40722	14312	50741
0090	Bílence	Chomutov	Ústecký kraj	43001	13506	50424
0092	Bílina	Teplice	Ústecký kraj	41801	13775	50548
00AD	Bitozeves	Louny	Ústecký kraj	44001	13640	50373
00B7	Blatno	Chomutov	Ústecký kraj	43001	13358	50511
00B8	Blatno	Louny	Ústecký kraj	43984	13389	50097
00BD	Blažim	Louny	Ústecký kraj	44001	13628	50406
00C7	Blšany	Louny	Ústecký kraj	43988	13471	50217
00C8	Blšany u Loun	Louny	Ústecký kraj	44001	13852	50347
00EE	Bohušovice nad Ohří	Litoměřice	Ústecký kraj	41156	14150	50493
00FC	Boleboř	Chomutov	Ústecký kraj	43121	13413	50540
0130	Bořislav	Teplice	Ústecký kraj	41501	13929	50579
0149	Braňany	Most	Ústecký kraj	43522	13700	50543
014A	Brandov	Most	Ústecký kraj	43547	13390	50632
016B	Brňany	Litoměřice	Ústecký kraj	41201	14141	50481
0174	Brodec	Louny	Ústecký kraj	44001	13801	50295
017C	Brozany nad Ohří	Litoměřice	Ústecký kraj	41181	14145	50453
0188	Brzánky	Litoměřice	Ústecký kraj	41301	14301	50461
01A7	Březno	Chomutov	Ústecký kraj	43145	13420	50402
01BD	Bříza	Litoměřice	Ústecký kraj	41301	14216	50360
01BE	Břvany	Louny	Ústecký kraj	44001	13721	50401
01D4	Budyně nad Ohří	Litoměřice	Ústecký kraj	41118	14126	50404
01FA	Býčkovice	Litoměřice	Ústecký kraj	41201	14213	50559
0201	Bynovec	Děčín	Ústecký kraj	40502	14264	50820
0208	Bystřany	Teplice	Ústecký kraj	41761	13864	50628
0218	Bžany	Teplice	Ústecký kraj	41501	13879	50589
022F	Cítoliby	Louny	Ústecký kraj	43902	13812	50332
023B	Ctiněves	Litoměřice	Ústecký kraj	41301	14307	50374
0271	Čeradice	Louny	Ústecký kraj	43801	13494	50308
027F	Černčice	Louny	Ústecký kraj	43901	13845	50361
0281	Černěves	Litoměřice	Ústecký kraj	41301	14243	50454
028A	Černiv	Litoměřice	Ústecký kraj	41002	14059	50445
028F	Černouček	Litoměřice	Ústecký kraj	41301	14307	50360
0295	Černovice	Chomutov	Ústecký kraj	43001	13359	50447
02AD	Česká Kamenice	Děčín	Ústecký kraj	40721	14417	50797
02BE	Český Jiřetín	Most	Ústecký kraj	43601	13547	50707
02E1	Čížkovice	Litoměřice	Ústecký kraj	41112	14028	50484
02FD	Děčany	Litoměřice	Ústecký kraj	41115	13908	50438
02FE	DĚČÍN	Děčín	Ústecký kraj	40502	14212	50772
030F	Deštnice	Louny	Ústecký kraj	43801	13609	50230
0321	Dlažkovice	Litoměřice	Ústecký kraj	41115	13965	50465
0337	Dobkovice	Děčín	Ústecký kraj	40703	14193	50714
0343	Dobrná	Děčín	Ústecký kraj	40741	14293	50769
0348	Dobroměřice	Louny	Ústecký kraj	44001	13794	50370
035D	Dobříň	Litoměřice	Ústecký kraj	41301	14293	50437
0366	Doksany	Litoměřice	Ústecký kraj	41182	14161	50454
0369	Dolánky nad Ohří	Litoměřice	Ústecký kraj	41301	14162	50472
0386	Dolní Habartice	Děčín	Ústecký kraj	40502	14333	50747
03A5	Dolní Podluží	Děčín	Ústecký kraj	40755	14595	50879
03A7	Dolní Poustevna	Děčín	Ústecký kraj	40782	14286	50982
03BB	Dolní Zálezly	Ústí nad Labem	Ústecký kraj	40301	14043	50597
03C6	Domašín	Chomutov	Ústecký kraj	43151	13172	50420
03CE	Domoušice	Louny	Ústecký kraj	43968	13729	50234
03D1	Doubice	Děčín	Ústecký kraj	40747	14461	50888
03E7	Drahobuz	Litoměřice	Ústecký kraj	41145	14320	50525
0408	Droužkovice	Chomutov	Ústecký kraj	43144	13429	50430
0429	Dubí	Teplice	Ústecký kraj	41701	13788	50681
0433	Duchcov	Teplice	Ústecký kraj	41901	13746	50603
0439	Dušníky	Litoměřice	Ústecký kraj	41301	14190	50424
044E	Evaň	Litoměřice	Ústecký kraj	41002	14028	50384
0452	Františkov nad Ploučnicí	Děčín	Ústecký kraj	40723	14327	50725
0468	Habrovany	Ústí nad Labem	Ústecký kraj	40002	13981	50598
046F	Háj u Duchcova	Teplice	Ústecký kraj	41722	13712	50630
0491	Havraň	Most	Ústecký kraj	43501	13598	50450
04AA	Heřmanov	Děčín	Ústecký kraj	40502	14291	50726
04BF	Hlinná	Litoměřice	Ústecký kraj	41201	14106	50572
04F5	Holedeč	Louny	Ústecký kraj	43801	13563	50277
0506	Homole u Panny	Ústí nad Labem	Ústecký kraj	40002	14186	50629
050A	Hora Svaté Kateřiny	Most	Ústecký kraj	43546	13436	50606
050B	Hora Svatého Šebestiána	Chomutov	Ústecký kraj	43182	13251	50510
051A	Horní Beřkovice	Litoměřice	Ústecký kraj	41185	14346	50358
052C	Horní Habartice	Děčín	Ústecký kraj	40502	14340	50762
0530	Horní Jiřetín	Most	Ústecký kraj	43543	13547	50573
054F	Horní Podluží	Děčín	Ústecký kraj	40757	14545	50881
055A	Horní Řepčice	Litoměřice	Ústecký kraj	41145	14253	50556
059B	Hostomice	Teplice	Ústecký kraj	41752	13808	50587
05A7	Hoštka	Litoměřice	Ústecký kraj	41172	14335	50488
05DE	Hrob	Teplice	Ústecký kraj	41704	13726	50659
05DF	Hrobce	Litoměřice	Ústecký kraj	41183	14230	50462
05E0	Hrobčice	Teplice	Ústecký kraj	41757	13785	50517
05F5	Hrušovany	Chomutov	Ústecký kraj	43143	13498	50387
05FD	Hřensko	Děčín	Ústecký kraj	40717	14242	50874
0602	Hříškov	Louny	Ústecký kraj	43904	13864	50291
0603	Hřivice	Louny	Ústecký kraj	43965	13730	50288
060D	Huntířov	Děčín	Ústecký kraj	40502	14303	50789
062D	Chabařovice	Ústí nad Labem	Ústecký kraj	40317	13941	50673
0634	Chbany	Chomutov	Ústecký kraj	43157	13430	50332
064B	Chlumčany	Louny	Ústecký kraj	43903	13843	50335
064D	Chlumec	Ústí nad Labem	Ústecký kraj	40339	13939	50699
065E	Chodouny	Litoměřice	Ústecký kraj	41171	14250	50473
0663	Chodovlice	Litoměřice	Ústecký kraj	41115	13993	50463
066B	Chomutov	Chomutov	Ústecký kraj	43004	13410	50463
067C	Chotěšov	Litoměřice	Ústecký kraj	41002	14085	50439
0681	Chotiměř	Litoměřice	Ústecký kraj	41002	14000	50548
0682	Chotiněves	Litoměřice	Ústecký kraj	41145	14279	50552
068E	Chožov	Louny	Ústecký kraj	43922	13859	50398
068F	Chraberce	Louny	Ústecký kraj	44001	13829	50408
06AB	Chřibská	Děčín	Ústecký kraj	40744	14483	50863
06B0	Chuderov	Ústí nad Labem	Ústecký kraj	40002	14046	50688
06B3	Chudoslavice	Litoměřice	Ústecký kraj	41201	14187	50583
06F2	Janov	Děčín	Ústecký kraj	40502	14265	50860
06F8	Janská	Děčín	Ústecký kraj	40502	14363	50804
071E	Jenčice	Litoměřice	Ústecký kraj	41115	14004	50483
0721	Jeníkov	Teplice	Ústecký kraj	41724	13749	50628
073C	Jetřichovice	Děčín	Ústecký kraj	40716	14394	50852
0755	Jílové	Děčín	Ústecký kraj	40701	14103	50760
075B	Jimlín	Louny	Ústecký kraj	44001	13747	50320
076B	Jirkov	Chomutov	Ústecký kraj	43111	13448	50500
076E	Jiřetín pod Jedlovou	Děčín	Ústecký kraj	40756	14575	50874
0774	Jiříkov	Děčín	Ústecký kraj	40753	14568	50993
078C	Kadaň	Chomutov	Ústecký kraj	43201	13271	50376
0794	Kalek	Chomutov	Ústecký kraj	43132	13322	50577
079F	Kámen	Děčín	Ústecký kraj	40713	14268	50810
07B5	Kamýk	Litoměřice	Ústecký kraj	41201	14077	50558
07E3	Keblice	Litoměřice	Ústecký kraj	41002	14101	50480
07F7	Kladruby	Teplice	Ústecký kraj	41501	13826	50615
07FA	Klapý	Litoměřice	Ústecký kraj	41116	14006	50431
07FD	Klášterec nad Ohří	Chomutov	Ústecký kraj	43151	13171	50384
0806	Kleneč	Litoměřice	Ústecký kraj	41301	14248	50392
